#LAST_NAME_M,FIRST_NAME_M,MG_Fullname_M,RBA_date_updated_M,RBA_date_creation_M,EMAIL_ADDR_M,FAX_PH_NUM_M,WORK_PH_NUM_M,SOC_SECURITY_NUM_M,ADDR_M,ADDR_LINE2_M,ADDR_LINE3_M,CITY_M,STATE_M,ZIPCODE_M,COUNTRY_M,ClusterId,GroupKey,ClusterSize,RowId,DriverId,DriverScore,LinkId,LinkScore
'Smith','Patricia',,,,,,,,,,,,,,,1,'SNAT',2,'1 - 32','1 - 34',0,'1 - 32',1
'Smith','Patric',,,,,,,,,,,,,,,2,'SNAT',1,'1 - 33','1 - 33',0,'1 - 33',1
'Smith','Patricia',,,,,,,,,,,,,,,1,'SNAT',2,'1 - 34','1 - 34',0,'1 - 32',1
'Puthran','Rajesh',,,,,,,,,,,,,,,3,'PATRAN',4,'1 - 35','1 - 40',0,'1 - 35',1
'Puthran','Rajes',,,,,,,,,,,,,,,4,'PATRAN',1,'1 - 36','1 - 36',0,'1 - 36',1
'Puthran',,,,,,,,,,,,,,,,5,'PATRAN',1,'1 - 37','1 - 37',0,'1 - 37',1
'Puthran','Rajesh',,,,,,,,,,,,,,,3,'PATRAN',4,'1 - 38','1 - 40',0,'1 - 35',1
'Puthran','Rajesh',,,,,,,,,,,,,,,3,'PATRAN',4,'1 - 39','1 - 40',0,'1 - 35',1
'Puthran','Rajesh',,,,,,,,,,,,,,,3,'PATRAN',4,'1 - 40','1 - 40',0,'1 - 35',1
'Null','Steve','Steve McGuire','19/11/2003','15/10/2003',,,'39',,'434 W 12 Mile Rd',,,'Troy','MI','48071-2420','USA',6,'NAL',1,'1 - 23','1 - 23',0,'1 - 23',1
'McClane','Tom',,,,,,,,,,,,,,,7,'MCLAN',3,'1 - 29','1 - 31',0,'1 - 29',1
'McClane','Tom',,,,,,,,,,,,,,,7,'MCLAN',3,'1 - 30','1 - 31',0,'1 - 29',1
'McClane','Tom',,,,,,,,,,,,,,,7,'MCLAN',3,'1 - 31','1 - 31',0,'1 - 29',1
'McLelland','Dale','Brian McLelland','13/02/2004','15/10/2003',,,'41',,'1420 Stephenson Hwy',,,'Troy','MI','48083-1189','USA',8,'MCLALAN',1,'1 - 24','1 - 24',0,'1 - 24',1
'McLelland','Myron','Brian McLelland','13/02/2004','15/10/2003',,,'43',,'1420 Stephenson Highway',,,'Troy','MI','480831189-','USA',9,'MCLALAN',1,'1 - 25','1 - 25',0,'1 - 25',1
'McLelland','Robert','Brian McLelland','13/02/2004','15/10/2003',,,'45',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',10,'MCLALAN',2,'1 - 26','1 - 28',0,'1 - 26',1
'McLelland','Rort','Fält ?vor','13/02/2004','15/10/2003',,,'45',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',11,'MCLALAN',1,'1 - 27','1 - 27',0,'1 - 27',1
'McLelland','Robert',,,,,,,,,,,,,,,10,'MCLALAN',2,'1 - 28','1 - 28',0,'1 - 26',1
'McGuire','Jie','Steve McGuire','19/11/2003','15/10/2003',,,'35',,'1420 Stephenson Hwy',,,'Troy','MI','1.2KG','USA',13,'MCGAR',1,'1 - 21','1 - 21',0,'1 - 21',1
'McGuire','Joe','Steve McGuire','19/11/2003','15/10/2003',,,'37',,'1420 Stephenson Highway',,,'Troy','MI','12KG','USA',14,'MCGAR',1,'1 - 22','1 - 22',0,'1 - 22',1
'Murthy N','sundararajan',,,,,,,,,,,,,,,15,'MARTAN',3,'1 - 41','1 - 45',0,'1 - 41',1
'Murthy N','sunajan',,,,,,,,,,,,,,,16,'MARTAN',1,'1 - 42','1 - 42',0,'1 - 42',1
'Murthy N','sundararajan',,,,,,,,,,,,,,,15,'MARTAN',3,'1 - 43','1 - 45',0,'1 - 41',1
'Murthy N','sunarajan',,,,,,,,,,,,,,,17,'MARTAN',1,'1 - 44','1 - 44',0,'1 - 44',1
'Murthy N','sundararajan',,,,,,,,,,,,,,,15,'MARTAN',3,'1 - 45','1 - 45',0,'1 - 41',1
'Justice','Frank','Vinita Justice','24/03/2003','23/03/2003','vinita.justice@gm.com','2485286125','17',,'1420 Stephenson Hwy',,,'Troy','MI','48083-1189','USA',18,'JASTAC',2,'1 - 12','1 - 13',0,'1 - 12',1
'Justice','Frank','Vinita Justice','24/03/2003','23/03/2003','vinita.justice@gm.com','2485286125','19',,'1420 Stephenson Highway',,,'Troy','MI',,'USA',18,'JASTAC',2,'1 - 13','1 - 13',0,'1 - 12',1
'Justice','Vinita','Vinita Justice','24/03/2003','23/03/2003','vinita.justice@gm.com','2485286125','21',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',19,'JASTAC',1,'1 - 14','1 - 14',0,'1 - 14',1
'Herby','Frank','Frank Herby','15/10/2003','15/10/2003',,,'15',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',20,'HARBY',1,'1 - 11','1 - 11',0,'1 - 11',1
'Henry','T0m','Patricia Henry','19/11/2003','15/10/2003',,,'5',,'1420 Stephenson Hwy',,,'Troy','MI','48083-1189','USA',21,'HANRY',1,'1 - 5','1 - 5',0,'1 - 5',1
'Henry','ToM','Patricia Henry','19/11/2003','15/10/2003',,,'7',,'1420 Stephenson Highway',,,'Troy','MI','48083--1189','USA',22,'HANRY',1,'1 - 6','1 - 6',0,'1 - 6',1
'Henry','Tom','Patricia Henry','19/11/2003','15/10/2003',,,'9',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',23,'HANRY',1,'1 - 7','1 - 7',0,'1 - 7',1
'Henry.L','Patricia','Patricia Henry','19/11/2003','15/10/2003',,,'9',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',24,'HANRAL',1,'1 - 8','1 - 8',0,'1 - 8',1
'Henry.L','Patri','Frank Herby','15/10/2003','15/10/2003',,,'11',,'1420 Stephenson Hwy',,,'Troy','MI','48083-1189','USA',25,'HANRAL',1,'1 - 9','1 - 9',0,'1 - 9',1
'Henry.L','Ptricia','Frank Herby','15/10/2003','15/10/2003',,,'13',,'1420 Stephenson Highway',,,'Troy','MI','48083189','USA',26,'HANRAL',1,'1 - 10','1 - 10',0,'1 - 10',1
'Folger','Muron','Tom Folger','15/10/2003','15/10/2003',,,'3',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',27,'FALGAR',1,'1 - 1','1 - 1',0,'1 - 1',1
'Folger','Robert','Tom Folger','15/10/2003','15/10/2003',,,'3',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-0242','USA',28,'FALGAR',2,'1 - 2','1 - 4',0,'1 - 2',1
'Folger','Robert1','Tom Folger','15/10/2003','15/10/2003',,,'3',,'434 W 12 Mile Rd',,,'Madison Heights','MI','480712420','USA',29,'FALGAR',1,'1 - 3','1 - 3',0,'1 - 3',1
'Folger','Robert','Tom Folger','15/10/2003','15/10/2003',,,'3',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',28,'FALGAR',2,'1 - 4','1 - 4',0,'1 - 2',1
'Karol','Vinita1','Catherine Karol','19/11/2003','15/10/2003',,,'23',,'1420 Stephenson Hwy',,,'Troy','MI','48083-1189','USA',31,'CARAL',1,'1 - 15','1 - 15',0,'1 - 15',1
'Karol','Vinita','Catherine Karol','19/11/2003','15/10/2003',,,'25',,'1420 Stephenson Highway',,,'Troy','MI','Zip480831189','USA',32,'CARAL',1,'1 - 16','1 - 16',0,'1 - 16',1
'Karol','Catherine','Catherine Karol','19/11/2003','15/10/2003',,,'27',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',33,'CARAL',1,'1 - 17','1 - 17',0,'1 - 17',1
'Kennedy','Cathine','Joe Kennedy','19/11/2003','29/07/1998',,,'29',,'1420 Stephenson Hwy',,,'Troy','MI','Dublin Post Office','USA',34,'CANADY',1,'1 - 18','1 - 18',0,'1 - 18',1
'Kennedy','Joe','Joe Kennedy','19/11/2003','29/07/1998',,,'33',,'434 W 12 Mile Rd',,,'Madison Heights','MI','48071-2420','USA',35,'CANADY',1,'1 - 20','1 - 20',0,'1 - 20',1
,'catherine','Joe Kennedy','19/11/2003','29/07/1998',,,'31',,'1420 Stephenson Highway',,,'Troy','MI','Post Office Dublin','USA',36,,1,'1 - 19','1 - 19',0,'1 - 19',1
